username;country;dateOfBirth;workclass;education;maritalStatus;sex;hours;savings;income;mortgage;others
dhinkensenng;Italy;02/06/1974;Unknown;Bachelors;Married; Male;23;7112;1891;false;iPhone, Ford
cfirebracenh;Germany;8/19/1981;Private;Bachelors;Married; Male;26,5;9527;1160;false;Samsung, BMW
fannetsni;Italy;1/23/1986;Self Employed;Doctorate;Never Married; Male;23,5;20209;5743;true;Samsung, Others
tlympenienj;Spain;3/29/1981;Public;Masters;Never Married; Male;20,5;7020;1628;true;iPhone, Others
cjahnignk;Spain;08/05/1988;Self Employed;Bachelors;Married; Female;26;8276;707;false;iPhone, Others
bparzizeknl;Germany;8/23/1974;Public;Masters;Married; Male;12;9231;495;false;Samsung, Audi
stuckettnm;Italy;5/23/1985;Private;High School;Divorced; Male;29;4133;891;false;iPhone, Honda
dbuessennn;Portugal;7/30/1970;Self Employed;Bachelors;Married; Male;27;21141;2842;true;iPhone, Others
lbigglestoneno;Portugal;3/14/1979;Unknown;Doctorate;Married; Male;27,5;6852;1176;false;iPhone, Others
chardemannp;Italy;3/28/1990;Unknown;Bachelors;Divorced; Male;38;6177;551;false;Iphone, Audi
cbaybuttnq;France;02/12/1986;Unknown;Bachelors;Married; Female;23;5277;1211;false;Samsung, Others
ksutterbynr;France;6/22/1985;Self Employed;Bachelors;Divorced; Female;23,5;10845;1462;false;Samsung, Others
htrathanns;France;2/17/1972;Private;Bachelors;Married; Female;20,5;9990;1079;true;Iphone, Volkswagen
dtoffolont;France;1/26/1991;Self Employed;Bachelors;Married; Male;34,5;4093;1194;true;Others, BMW
edykasnu;Germany;10/13/1978;Private;Doctorate;Married; Male;24;3226;1992;false;iPhone, Others
bmarianv;Spain;01/04/1980;Unknown;Bachelors;Divorced; Male;37,5;9770;1983;true;iPhone, Audi
snancarrownw;Germany;5/13/1981;Self Employed;Bachelors;Separated; Female;27,5;7683;1261;false;Samsung, Others
dlauritzennx;Spain;2/26/1991;Public;Bachelors;Married; Male;36,5;8355;1590;true;iPhone, BMW
cvautreyny;Spain;2/16/1985;Private;Masters;Married; Male;33;10087;1322;false;Others, Others
klarbynz;Spain;3/18/1974;Self Employed;Bachelors;Married; Male;34;21242;4657;false;iPhone, Honda
chyndsono0;France;7/25/1973;Unknown;Bachelors;Married; Female;36,5;9827;1254;true;Iphone, Non
lendersono1;Germany;03/08/1973;Private;Doctorate;Married; Male;25,5;44221;2203;false;Samsung, Audi
fpundo2;Spain;5/19/1986;Self Employed;Bachelors;Married; Male;26;7914;859;false;iPhone, Non
spavineseo3;Italy;3/16/1989;Public;Bachelors;Married; Male;22,5;5594;581;false;Iphone, Volkswagen
tbudniko4;Portugal;06/03/1977;Self Employed;High School;Married; Male;14;3032;437;false;iPhone, Others
rlavallo5;Germany;11/09/1985;Unknown;Masters;Married; Female;25;7303;1468;true;Iphone, Seat
mbureto6;France;02/12/1974;Private;Masters;Married; Male;22,5;8709;587;true;iPhone, Others
jskellono7;Germany;12/06/1972;Private;Doctorate;Married; Female;26;30246;5774;true;iPhone, BMW
fredmaino8;Italy;09/02/1990;Public;Bachelors;Married; Male;20,5;6721;1117;true;Iphone, BMW
awillso9;Portugal;4/22/1987;Private;Bachelors;Never Married; Male;20,5;6098;1724;false;Iphone, Others
rketleyoa;Germany;10/24/1983;Self Employed;Bachelors;Married; Female;32;22271;2235;false;Others, Ford
rrydingob;Germany;6/25/1986;Self Employed;Bachelors;Divorced; Male;38,5;6653;1604;false;iPhone, Others
bsherrockoc;Portugal;6/27/1982;Unknown;High School;Married; Male;27,5;8685;948;false;Samsung, BMW
sdurranod;France;1/25/1989;Public;Bachelors;Divorced; Female;27,5;6507;1203;true;iPhone, Ford
jpartonoe;Germany;3/24/1978;Public;High School;Married; Female;33;6475;1089;true;Iphone, Honda
wmuzzallof;Spain;5/14/1976;Self Employed;High School;Married; Male;22;6939;511;false;iPhone, Others
mkemingog;Italy;6/26/1977;Private;Doctorate;Married; Male;33;6172;1045;true;iPhone, Others
npeasgoodoh;Portugal;8/29/1977;Public;High School;Married; Male;22;3428;773;true;Samsung, Non
kjewsburyoi;Germany;09/02/1972;Public;Bachelors;Married; Male;10;3036;483;false;iPhone, Others
tkeunemannoj;Germany;9/28/1986;Unknown;Bachelors;Married; Male;20,5;9097;1201;false;iPhone, Seat
ybraysonok;Portugal;11/23/1972;Private;Doctorate;Never Married; Female;35;4912;1405;false;iPhone, Others
csanchezol;Germany;6/23/1980;Unknown;Bachelors;Married; Male;29;37962;4591;false;iPhone, Others
mbiaginiom;Portugal;8/21/1974;Self Employed;Masters;Never Married; Female;26,5;3955;604;false;Samsung, Volkswagen
ldoorlyon;Spain;7/18/1981;Unknown;Bachelors;Never Married; Female;24;3631;1252;true;Iphone, Volkswagen
wmanicomoo;France;3/25/1988;Unknown;Bachelors;Divorced; Male;31;32914;6932;false;Samsung, Non
bkobop;Spain;09/05/1970;Self Employed;High School;Married; Male;25,5;5525;957;false;iPhone, Non
jmathieuoq;Spain;12/10/1980;Private;Masters;Married; Male;20,5;4893;1340;false;Iphone, Honda
lfenderor;Portugal;10/15/1987;Public;Bachelors;Married; Female;23;18494;1860;false;Iphone, Volkswagen
isamteros;France;8/30/1981;Unknown;Doctorate;Married; Female;35,5;4502;791;true;Samsung, Others
wcliburnot;Spain;10/10/1989;Private;Bachelors;Married; Female;22;36590;5000;true;Others, Non
minnerstoneou;Spain;11/25/1978;Private;Bachelors;Married; Male;30,5;9938;1570;false;Samsung, Non
elanphierov;France;12/27/1990;Private;Masters;Married; Male;17,5;4441;1405;false;Samsung, Others
paskemow;Germany;09/02/1982;Self Employed;High School;Separated; Male;21,5;8374;1492;false;iPhone, Non
cloveardox;Germany;1/31/1979;Self Employed;Bachelors;Married; Male;28,5;8534;1454;true;Samsung, Seat
carsmithoy;France;12/26/1985;Self Employed;Bachelors;Married; Male;33,5;79524;2845;false;Iphone, Volkswagen
cburhouseoz;Spain;9/15/1972;Private;High School;Married; Male;25;3884;910;false;iPhone, Others
jyeolandp0;Spain;8/23/1982;Public;High School;Married; Male;17,5;10597;507;false;Iphone, Honda
ffewsterp1;Spain;12/04/1989;Private;Bachelors;Divorced; Male;23;4402;628;true;Samsung, Others
vcresseyp2;France;12/01/1983;Private;Bachelors;Married; Male;25;9403;1712;true;Others, Audi
aklehynp3;Germany;8/22/1989;Public;Doctorate;Never Married; Male;27;6494;659;true;iPhone, Honda
ecaneop4;Portugal;09/01/1970;Public;Bachelors;Married; Male;25;5702;608;true;Iphone, Others
gchampneysp5;France;1/29/1986;Private;Bachelors;Married; Female;39;3147;1881;true;Others, Non
bmcveaghp6;Spain;4/20/1973;Public;Bachelors;Married; Female;28,5;5526;1684;false;Others, BMW
trawstornep7;Portugal;12/02/1972;Public;Bachelors;Married; Female;32,5;5787;890;false;Iphone, Volkswagen
irawlingsonp8;Germany;10/10/1974;Self Employed;Masters;Divorced; Male;12,5;7408;381;false;iPhone, Others
ftrasep9;Spain;03/10/1979;Unknown;Bachelors;Married; Female;24,5;6553;1603;false;Samsung, Seat
vchurchinpa;Portugal;9/30/1983;Public;Bachelors;Married; Male;22;77766;5572;true;Samsung, Others
dbeausangpb;Spain;12/02/1980;Self Employed;High School;Married; Female;28;8286;1836;false;Samsung, Audi
mbenaharonpc;Germany;5/26/1976;Self Employed;High School;Married; Female;24,5;6175;1914;false;Samsung, Honda
ahuggonspd;Italy;7/24/1984;Unknown;Doctorate;Separated; Female;7,5;14667;368;false;iPhone, Non
sgrinovpe;France;4/23/1970;Private;High School;Married; Male;31;9501;1888;false;Others, Audi
rstideverpf;Portugal;07/05/1970;Private;Bachelors;Married; Male;26;9933;1407;false;iPhone, Seat
scallearpg;Spain;10/03/1988;Private;Doctorate;Married; Male;24,5;9226;610;true;iPhone, Ford
cblazicph;France;10/04/1980;Unknown;High School;Divorced; Female;32;6310;1841;true;Iphone, Non
abevingtonpi;Spain;3/30/1974;Public;Bachelors;Married; Male;34;8133;1611;true;iPhone, Seat
ablandfordpj;Germany;01/08/1988;Unknown;High School;Married; Female;22,5;7449;643;false;iPhone, Non
browpk;Spain;8/26/1984;Public;Bachelors;Married; Female;35,5;9405;1188;false;Samsung, Seat
ajoirispl;Portugal;6/16/1980;Private;Bachelors;Married; Male;30;4633;762;false;iPhone, Non
cchennellspm;France;5/29/1978;Unknown;Masters;Married; Male;26,5;34582;3079;false;Iphone, Non
tatackpn;France;11/29/1970;Private;Masters;Married; Male;18;3339;955;false;Samsung, Audi
lmcgillicuddypo;Italy;3/17/1978;Private;Doctorate;Married; Female;19,5;5351;1489;true;iPhone, Others
igingelpp;Germany;3/24/1978;Private;Bachelors;Married; Male;34;9761;1475;true;iPhone, Ford
kleatherborrowpq;Germany;10/20/1976;Private;Bachelors;Married; Female;33,5;7117;662;true;iPhone, Non
mcalderopr;Portugal;08/07/1974;Private;High School;Married; Female;25;18680;1138;true;Iphone, Volkswagen
banthonyps;Portugal;09/01/1973;Self Employed;High School;Married; Male;39,5;9273;626;true;Samsung, Honda
gnorringtonpt;Spain;12/05/1982;Public;High School;Married; Male;34;14896;1059;true;iPhone, BMW
dchastaingpu;Germany;5/26/1989;Self Employed;Masters;Separated; Male;38;62930;2158;false;iPhone, Others
dtregaskispv;Germany;4/14/1978;Private;Masters;Married; Female;37;3537;1832;true;iPhone, Others
dblackallerpw;Germany;04/10/1971;Unknown;High School;Married; Male;38;4733;1766;false;Others, Honda
twolfindalepx;France;02/09/1989;Public;Bachelors;Divorced; Female;20,5;22518;4377;false;Samsung, Volkswagen
bhunpy;Germany;7/25/1980;Self Employed;Bachelors;Separated; Male;10,5;6727;474;false;iPhone, Non
whousenpz;Germany;6/26/1982;Public;Masters;Never Married; Male;20;7535;1834;false;iPhone, Others
dciceroq0;Germany;10/28/1986;Public;Masters;Divorced; Female;23;7839;570;true;Iphone, Ford
tblowinq1;Spain;12/15/1977;Public;Bachelors;Married; Male;33,5;6348;1941;false;iPhone, Ford
inoirelq2;Spain;10/15/1987;Self Employed;High School;Never Married; Female;35,5;5495;1982;true;Others, Audi
lparleyq3;France;11/19/1976;Unknown;Doctorate;Married; Female;29;6330;1464;true;iPhone, Seat
hwickersleyq4;Italy;02/08/1975;Public;Bachelors;Married; Male;34;5386;1872;false;Iphone, Ford
sdeethq5;Italy;05/06/1970;Public;Bachelors;Married; Male;18,5;4264;634;true;Samsung, Audi
wcarlesq6;France;7/30/1976;Private;Bachelors;Separated; Female;20;46561;5474;true;Iphone, Ford
gpettwoodq7;Italy;10/09/1972;Public;Bachelors;Married; Male;25,5;7465;1901;false;Samsung, BMW
rpittwayq8;Spain;4/25/1977;Public;Bachelors;Married; Male;30,5;9549;597;false;Samsung, Others
wshererq9;Germany;12/01/1979;Private;Bachelors;Married; Male;30,5;72382;6438;true;Others, Honda
lalgieqa;Spain;8/16/1981;Unknown;Bachelors;Married; Male;32,5;3225;1550;false;Others, Others
bdabellqb;France;12/12/1977;Public;Bachelors;Married; Male;12,5;6791;388;false;iPhone, Seat
rdederickqc;France;01/04/1988;Private;High School;Married; Female;17,5;20394;3246;false;iPhone, Honda
arugieroqd;Spain;09/12/1976;Self Employed;High School;Separated; Male;21,5;4153;976;false;iPhone, Non
cjeffcockqe;Italy;9/26/1975;Public;Bachelors;Married; Male;20;9003;927;false;Samsung, Others
rquinnqf;Germany;7/29/1985;Unknown;High School;Married; Male;22;7952;820;true;Samsung, Audi
tgilhoolqg;France;3/15/1974;Self Employed;Bachelors;Married; Male;31;4285;793;false;Others, Others
gattawellqh;Germany;4/13/1973;Private;Bachelors;Married; Male;18,5;7902;859;false;iPhone, BMW
scruxtonqi;Spain;7/16/1985;Private;High School;Married; Female;24,5;12995;1066;true;iPhone, Ford
cmaccartneyqj;Italy;12/27/1978;Public;High School;Divorced; Male;26;5427;1541;false;Others, Others
bhandleyqk;France;4/18/1978;Private;Doctorate;Married; Male;24,5;8327;640;false;iPhone, Others
mcastangiaql;Spain;12/12/1971;Public;Masters;Never Married; Female;18,5;7165;1120;true;Others, Audi
scroutearqm;Spain;3/18/1979;Unknown;High School;Married; Female;27;8796;1351;false;Iphone, Non
snutbeemqn;France;2/14/1974;Self Employed;Bachelors;Separated; Male;31;4943;1661;false;Samsung, Non
amellowsqo;Germany;3/27/1989;Public;Bachelors;Separated; Female;36;13886;978;false;iPhone, Others
cwallbuttonqp;Germany;3/15/1988;Private;Bachelors;Married; Female;19;16655;753;false;iPhone, Volkswagen
bbrumptonqq;Italy;7/28/1983;Private;Doctorate;Married; Male;27;3438;924;false;Samsung, Ford
mmcevoyqr;Portugal;2/27/1990;Private;Bachelors;Married; Female;25,5;9058;1184;true;iPhone, Honda
sdericotqs;Germany;9/23/1985;Unknown;Doctorate;Married; Male;34;6996;1547;false;iPhone, Audi
mkohnertqt;France;4/25/1970;Self Employed;Bachelors;Married; Male;36,5;61023;5678;false;Others, Non
kmeynellqu;Spain;11/06/1979;Self Employed;Bachelors;Divorced; Male;21,5;5074;1957;false;Samsung, Audi
phayballqv;Germany;12/10/1983;Self Employed;Bachelors;Divorced; Female;22,5;3164;1374;false;iPhone, Others
gsallanqw;Portugal;11/25/1977;Private;High School;Separated; Male;28;7476;1920;false;iPhone, Others
lalloisiqx;France;7/13/1973;Self Employed;High School;Married; Male;35,5;4725;593;true;Samsung, Non
sheggqy;Spain;12/07/1978;Public;Masters;Married; Male;31;18005;1420;false;Samsung, BMW
csweetsurqz;Germany;4/16/1987;Self Employed;Bachelors;Married; Male;4,5;6680;419;false;Samsung, Non
ladlingtonr0;Spain;10/22/1987;Self Employed;High School;Married; Male;34;6902;1451;false;Samsung, Others
dliveingr1;France;01/12/1974;Public;Bachelors;Separated; Male;38,5;7343;1101;true;Iphone, Audi
aadelmanr2;Portugal;9/20/1972;Self Employed;Bachelors;Married; Male;25;7796;785;false;iPhone, Others
tbroddler3;France;12/01/1971;Unknown;Bachelors;Married; Male;17,5;5297;991;true;Samsung, Others
tlafayetter4;Italy;5/30/1979;Unknown;Doctorate;Never Married; Male;34,5;4191;1343;true;Iphone, Others
nguynemerr5;France;5/16/1973;Self Employed;Bachelors;Separated; Male;36,5;3462;1088;true;iPhone, Seat
barchdeaconr6;Portugal;1/20/1987;Private;Doctorate;Divorced; Male;28,5;4117;541;false;iPhone, Audi
tcuttellr7;Spain;1/18/1974;Public;High School;Married; Male;28,5;9957;1990;false;Iphone, Others
qdanilyukr8;Italy;7/13/1987;Public;Doctorate;Married; Male;26;5673;526;true;Iphone, Seat
cflethamr9;Italy;3/13/1982;Unknown;Masters;Divorced; Male;12,5;5639;440;false;Samsung, Non
aleathemra;Spain;9/19/1988;Self Employed;High School;Married; Male;33;63298;2704;true;Samsung, Others
arignallrb;Germany;12/04/1978;Self Employed;Bachelors;Separated; Male;18;7128;951;false;Samsung, Others
ajevonsrc;Spain;07/04/1976;Public;High School;Married; Male;19,5;7301;1484;false;iPhone, Audi
mbuckrd;Spain;11/12/1988;Unknown;Bachelors;Married; Male;23,5;3741;1568;true;iPhone, Others
cbollandre;Portugal;8/16/1979;Self Employed;Bachelors;Never Married; Female;26,5;4154;1370;true;iPhone, Ford
gglanceyrf;Italy;11/13/1978;Self Employed;Doctorate;Divorced; Male;22;3418;591;false;iPhone, Others
kproctorrg;Portugal;06/02/1978;Private;Bachelors;Separated; Male;33;7260;1311;true;iPhone, Others
wtumilityrh;Germany;2/20/1971;Public;Doctorate;Married; Female;20,5;6475;536;false;Samsung, Non
rdrescheri;Spain;01/02/1977;Unknown;Masters;Divorced; Male;21;7005;1778;false;Samsung, Seat
bespadasrj;Spain;10/16/1971;Self Employed;Masters;Separated; Male;35,5;5282;1470;false;Iphone, Others
gizaksrk;Germany;02/10/1991;Self Employed;High School;Married; Male;17;9821;1100;true;Samsung, Others
sedwardsrl;Germany;05/10/1989;Public;High School;Never Married; Male;19,5;9580;1871;true;Samsung, Others
rorwellrm;Portugal;05/03/1980;Self Employed;Masters;Married; Male;29;4218;1135;false;iPhone, Ford
trossonrn;Spain;03/11/1971;Unknown;Bachelors;Never Married; Female;19,5;4258;1427;true;iPhone, Volkswagen
kcharerro;Germany;3/18/1981;Unknown;Bachelors;Married; Male;20,5;98927;6191;false;Others, Seat
klipgensrp;Spain;09/08/1986;Self Employed;Bachelors;Married; Male;10;9065;344;false;iPhone, Non
egwillimrq;Germany;08/05/1980;Private;Bachelors;Married; Male;31;31317;6606;false;Others, Honda
dweylandrr;Germany;1/15/1989;Private;Bachelors;Never Married; Female;9;6034;479;false;Samsung, Seat
hsoall0;Portugal;6/27/1975;Unknown;High School;Married; Male;38,5;4874;714;false;Others, Others
hcheak1;Portugal;9/15/1985;Private;Masters;Married; Female;29;9293;1369;true;Samsung, Others
vmallabone2;France;9/14/1987;Public;High School;Married; Female;32,5;34621;6076;false;Others, Seat
imccrie3;France;04/04/1979;Self Employed;Bachelors;Married; Female;30,5;8830;700;true;Samsung, Others
atissington4;France;6/14/1984;Unknown;Bachelors;Married; Male;18;9372;812;false;iPhone, BMW
ggersam5;Italy;3/26/1973;Unknown;Bachelors;Married; Male;25;7610;1203;false;iPhone, Seat
asilveston6;France;9/19/1974;Public;Bachelors;Divorced; Male;25,5;5802;1643;true;iPhone, Non
nogriffin7;Germany;3/17/1970;Self Employed;High School;Never Married; Male;26;7142;1551;true;Samsung, Others
ashowers8;Spain;08/05/1982;Public;Bachelors;Married; Male;30,5;7841;1514;true;Others, Ford
kkirkebye9;Portugal;8/24/1971;Private;Bachelors;Married; Male;29,5;8078;600;true;iPhone, Volkswagen
nrountreea;Italy;8/22/1981;Self Employed;High School;Never Married; Female;36;6106;1013;false;Samsung, Others
mgawthropb;Spain;12/27/1984;Self Employed;Doctorate;Married; Male;40;4418;1999;false;Others, Non
epetheridgec;Spain;12/23/1978;Public;Masters;Married; Male;17,5;38587;6024;false;iPhone, Volkswagen
shebbsd;Germany;12/30/1990;Self Employed;Masters;Married; Male;30,5;6689;624;true;Others, Others
lreemee;Germany;12/16/1989;Unknown;Bachelors;Married; Male;25;6360;952;false;iPhone, Ford
hfolshomf;France;1/28/1980;Unknown;Masters;Divorced; Male;21;7386;1534;false;iPhone, Seat
ehamillg;Germany;5/19/1983;Public;Masters;Separated; Female;20,5;4653;944;false;iPhone, Non
jtounh;France;6/25/1970;Unknown;Bachelors;Separated; Female;32;7494;1977;false;Samsung, Non
mfrankomi;Germany;11/01/1978;Public;Bachelors;Married; Male;34;4690;802;false;iPhone, Others
metteryj;Spain;07/04/1970;Unknown;Bachelors;Separated; Male;19,5;4581;1493;true;Others, Others
mdysterk;France;10/21/1976;Unknown;Doctorate;Married; Female;20,5;8502;1848;false;Samsung, Ford
mmeel;Germany;08/01/1975;Self Employed;Bachelors;Married; Male;22;7355;1093;false;iPhone, Ford
gpregelm;Spain;4/30/1976;Private;High School;Married; Male;28,5;5285;948;false;iPhone, Audi
bpheaseyn;Portugal;11/13/1973;Unknown;High School;Married; Female;23;8966;1784;false;iPhone, Ford
kdonohoeo;Germany;10/28/1986;Public;Bachelors;Separated; Male;19;3531;1986;false;iPhone, Volkswagen
acolvinep;Spain;6/20/1985;Self Employed;Doctorate;Married; Male;16,5;9459;465;true;iPhone, Others
fscarrisbrickq;Spain;10/29/1974;Public;Masters;Married; Male;24,5;3597;1842;false;Samsung, Others
kharbager;Germany;04/02/1983;Unknown;Bachelors;Married; Female;39;8711;847;true;Samsung, Honda
fshiltons;Italy;03/07/1985;Unknown;Masters;Divorced; Male;37;5056;1500;true;Iphone, Others
bgoldsteint;Germany;12/30/1980;Self Employed;Masters;Divorced; Female;30;37833;5512;true;iPhone, Others
iwasmeru;Italy;12/26/1970;Public;Doctorate;Never Married; Male;39;80728;3529;true;Samsung, Ford
mligertonv;Spain;10/06/1973;Private;High School;Married; Male;39;34869;4634;false;Others, Volkswagen
pfalconertaylorw;Germany;09/05/1975;Public;High School;Divorced; Male;29;3870;1960;true;Samsung, Others
hthreadgouldx;France;5/19/1974;Self Employed;Masters;Married; Male;32,5;7877;1002;true;iPhone, Honda
fyeley;Portugal;8/16/1984;Self Employed;High School;Married; Male;6;4258;308;true;Iphone, Others
agouckz;Spain;10/19/1974;Public;Bachelors;Married; Female;38,5;5871;1085;false;iPhone, Seat
dfilyashin10;Spain;10/17/1980;Private;Doctorate;Married; Female;25,5;8800;1306;true;iPhone, Honda
dhabergham11;Portugal;01/07/1975;Public;Bachelors;Separated; Male;35;8056;1410;false;iPhone, Others
gsweetmore12;Italy;6/23/1981;Public;Bachelors;Married; Male;29,5;5678;1017;false;iPhone, Others
anewman13;Spain;7/21/1971;Self Employed;Bachelors;Separated; Male;16;8825;375;true;Samsung, Others
vpartkya14;Spain;11/01/1975;Private;Masters;Married; Female;38;4287;910;true;Iphone, Non
myurevich15;Germany;12/28/1983;Public;Doctorate;Married; Male;27,5;3883;1764;false;Others, Ford
tneubigging16;Spain;05/03/1981;Unknown;Bachelors;Separated; Female;23;8478;813;false;Iphone, Others
jjobern17;Italy;11/16/1983;Public;Bachelors;Married; Female;36,5;4433;1535;false;Others, Non
ftobias18;France;7/14/1989;Unknown;High School;Divorced; Male;37,5;8822;594;true;iPhone, Ford
kdubois19;Germany;5/14/1970;Unknown;Bachelors;Never Married; Male;37;3153;1222;true;iPhone, Non
csothcott1a;Italy;8/27/1981;Self Employed;Bachelors;Never Married; Male;28;5628;776;true;Iphone, BMW
dmebius1b;France;5/20/1983;Self Employed;Bachelors;Married; Male;23;5599;1164;false;Samsung, Others
stellenbach1c;Spain;9/20/1972;Unknown;Bachelors;Married; Male;20,5;7455;1105;false;iPhone, Others
aphilbrick1d;Spain;5/22/1982;Unknown;Bachelors;Married; Male;13;3803;416;false;iPhone, Non
nbawle1e;Germany;9/26/1983;Public;High School;Separated; Male;24;17516;1578;false;Others, Non
prennels1f;Spain;6/16/1986;Public;Bachelors;Separated; Male;24,5;8559;1961;false;iPhone, Others
nconsadine1g;France;03/11/1981;Unknown;Bachelors;Divorced; Female;34;4342;968;false;Samsung, Others
eridesdale1h;Portugal;06/12/1970;Unknown;High School;Married; Male;37;4847;1659;false;iPhone, Others
ueskrick1i;Portugal;06/03/1989;Unknown;High School;Married; Male;39,5;25914;6672;false;Samsung, Audi
ccowill1j;Spain;12/15/1974;Self Employed;High School;Never Married; Male;26,5;9408;1442;false;Iphone, Others
rzamboniari1k;Spain;6/16/1971;Public;Bachelors;Married; Male;31,5;6306;746;true;iPhone, Others
lstaner1l;Portugal;3/24/1984;Unknown;Bachelors;Married; Male;39;6418;1954;false;iPhone, Others
iplant1m;Germany;08/04/1983;Unknown;Bachelors;Married; Male;37,5;9228;1341;true;Others, Others
tsharratt1n;Germany;03/12/1975;Unknown;Doctorate;Never Married; Female;30;6865;888;true;iPhone, Non
lrowbottom1o;Portugal;6/22/1975;Self Employed;Doctorate;Married; Male;35;57888;4805;true;iPhone, Volkswagen
challeday1p;Spain;02/04/1982;Self Employed;High School;Married; Male;25;29282;6667;false;Samsung, Others
dlilley1q;Germany;02/12/1981;Self Employed;Doctorate;Married; Male;19;3771;617;false;Samsung, Ford
wboman1r;Portugal;7/26/1971;Unknown;Bachelors;Married; Male;20;16974;1857;true;iPhone, Non
mmcgettrick1s;Spain;02/03/1984;Public;Masters;Married; Female;19;8369;1407;false;iPhone, Others
hhaggis1t;Germany;03/05/1986;Public;Bachelors;Married; Male;29;9512;1671;false;Samsung, Others
ssiddall1u;France;2/16/1982;Public;Bachelors;Married; Male;32;3874;1384;true;iPhone, Others
qlidster1v;Germany;3/15/1988;Public;Bachelors;Divorced; Male;37;6641;759;true;Samsung, Honda
lsheers1w;Germany;04/02/1972;Public;High School;Separated; Male;15;6883;444;true;Others, Audi
sayllett1x;Spain;2/14/1981;Private;Bachelors;Married; Female;26,5;6715;674;false;Others, Others
akmiec1y;Germany;1/20/1981;Private;Masters;Married; Male;29;98439;2238;true;Others, Ford
mmowat1z;France;06/03/1986;Public;High School;Never Married; Male;29;5759;1360;true;Others, Audi
ttootell20;Germany;07/11/1987;Self Employed;Bachelors;Married; Male;17;7207;900;false;iPhone, Others
jloges21;France;06/09/1970;Unknown;Bachelors;Never Married; Male;34;29943;2117;false;iPhone, Audi
cgoracci22;Germany;10/01/1983;Private;Bachelors;Divorced; Male;30,5;7737;1066;true;iPhone, Others
lmcleman23;Portugal;12/07/1986;Unknown;Bachelors;Never Married; Female;40;9891;1795;true;iPhone, Others
jdomenget24;Spain;1/25/1982;Self Employed;Bachelors;Married; Female;25;7746;1208;false;Iphone, Volkswagen
sethridge25;Portugal;1/25/1972;Public;Masters;Never Married; Female;34,5;75314;6829;true;Samsung, Others
cdwane26;Italy;07/05/1971;Private;Bachelors;Separated; Male;21,5;9839;714;false;Samsung, Volkswagen
dtonepohl27;Portugal;03/06/1972;Private;Bachelors;Married; Male;29;4201;837;true;iPhone, Others
sshinner28;Italy;8/29/1986;Private;High School;Married; Female;29,5;8927;1386;true;iPhone, Non
ssummerscales29;Germany;1/21/1973;Self Employed;Bachelors;Married; Male;37,5;6619;1015;false;iPhone, BMW
scossans2a;Germany;08/07/1989;Unknown;Bachelors;Married; Male;37;100000;500000;true;iPhone, BMW
msconce2b;Germany;10/12/1988;Unknown;High School;Married; Female;22;9933;668;true;Iphone, Audi
adarwin2c;Germany;07/08/1981;Unknown;Bachelors;Married; Female;28;3512;821;true;Iphone, BMW
tjugging2d;Germany;6/15/1981;Private;Masters;Married; Male;30,5;7049;1596;true;Iphone, Others
mrossetti2e;Italy;08/06/1972;Unknown;Bachelors;Married; Male;30;4291;1986;false;Samsung, Non
mcomiam2f;Italy;1/23/1976;Unknown;Bachelors;Married; Male;5;17997;454;false;Others, Volkswagen
ajanas2g;Spain;12/05/1974;Unknown;Bachelors;Married; Male;20,5;86295;6818;true;iPhone, Non
wburnand2h;Germany;8/17/1981;Public;Masters;Married; Male;23,5;3722;1423;false;iPhone, Ford
mgarrals2i;France;08/06/1984;Unknown;Bachelors;Married; Male;19;6131;593;false;iPhone, Non
ikuhne2j;Spain;11/11/1979;Self Employed;High School;Married; Female;26,5;13251;1677;true;iPhone, Honda
pabsolom2k;Germany;3/22/1982;Self Employed;Bachelors;Married; Male;27,5;3299;696;false;iPhone, Others
cladloe2l;Spain;7/14/1980;Unknown;Bachelors;Married; Male;4,5;9070;304;false;Samsung, Non
bdavidovitch2m;France;6/14/1976;Public;High School;Married; Female;36;19044;944;true;Samsung, Others
fscattergood2n;Spain;7/26/1986;Public;Masters;Married; Female;27,5;7469;1789;false;iPhone, Others
mfriman2o;France;7/27/1986;Self Employed;Bachelors;Married; Female;29,5;6970;1080;false;Samsung, Others
paverall2p;Spain;10/27/1989;Self Employed;Bachelors;Married; Male;31,5;8926;1718;true;iPhone, Honda
esevers2q;Germany;9/24/1972;Public;Bachelors;Married; Male;27,5;4101;7000;false;iPhone, Others
wblacksell2r;Portugal;05/10/1975;Unknown;Bachelors;Married; Male;23,5;8366;1367;true;iPhone, Honda
ochicken2s;Spain;9/23/1987;Public;Doctorate;Married; Male;35;3859;1702;false;iPhone, Audi
sbamlet2t;Germany;03/05/1989;Self Employed;Masters;Married; Male;24,5;5435;538;false;iPhone, Others
blound2u;Italy;4/22/1987;Self Employed;High School;Married; Male;27;3859;1181;true;Others, Honda
cmcwhinnie2v;Germany;04/03/1971;Public;High School;Divorced; Male;24,5;9975;1967;false;iPhone, Seat
solivie2w;Spain;10/21/1982;Private;Bachelors;Never Married; Male;9,5;9886;407;true;Samsung, Others
dmynett2x;Germany;04/06/1982;Unknown;Bachelors;Married; Male;33;3301;588;true;Iphone, Volkswagen
lwillows2y;Germany;10/03/1976;Public;High School;Married; Male;34,5;4314;1415;true;iPhone, Seat
